"Title" "Artist" "danceability" "energy" "loudness" "speechiness" "acousticness" "instrumentalness" "valence" "tempo" "duration" "Genre"
"Super Trouper" "ABBA" 0.764 0.626 -8.274 0.0288 0.457 6.35e-06 0.961 118.324 254.6 "Oldies"
"Voulez-Vous" "ABBA" 0.707 0.775 -6.91 0.0371 0.124 0.000585 0.909 126.662 309.16 "Oldies"
"Footloose" "Kenny Loggins" 0.583 0.905 -6.132 0.0733 0.0984 0.00019 0.646 173.982 226.827 "Oldies"
"Take On Me" "a-ha" 0.573 0.902 -7.638 0.054 0.018 0.00125 0.876 84.412 225.28 "Oldies"
"Never Gonna Give You Up" "Rick Astley" 0.695 0.976 -6.982 0.0428 0.0262 2.41e-05 0.937 113.357 212.4 "Oldies"
"Together Forever" "Rick Astley" 0.669 0.989 -5.448 0.0464 0.186 3.12e-05 0.895 115.158 201.503 "Oldies"
"Uptown Girl" "Billy Joel" 0.696 0.943 -2.962 0.0431 0.0736 0 0.833 129.003 194.867 "Oldies"
"Whip It" "DEVO" 0.769 0.867 -7.436 0.0545 0.06 0.000562 0.962 157.874 158.64 "Oldies"
"Don't Stop 'Til You Get Eno..." "Michael Jackson" 0.878 0.821 -9.875 0.089 0.126 0.0461 0.947 118.881 365.467 "Oldies"
"Beat It - Single Version" "Michael Jackson" 0.779 0.867 -3.704 0.0457 0.0491 7.98e-06 0.915 138.858 258.04 "Oldies"
"P.Y.T. (Pretty Young Thing)" "Michael Jackson" 0.888 0.815 -4.909 0.0404 0.23 0.000424 0.961 127.273 238.733 "Oldies"
"Material Girl" "Madonna" 0.742 0.883 -3.419 0.0329 0.333 7.51e-06 0.978 136.506 240.28 "Oldies"
"Girls Just Want to Have Fun" "Cyndi Lauper" 0.704 0.646 -9.415 0.037 0.453 1.42e-05 0.713 120.54 227.867 "Oldies"
"You Spin Me Round (Like a R..." "Dead Or Alive" 0.567 0.943 -7.992 0.0387 0.0308 0.0966 0.965 128.207 199.667 "Oldies"
"Karma Chameleon" "Culture Club" 0.676 0.632 -9.927 0.037 0.199 0 0.946 91.987 239.212 "Oldies"
"Another One Bites The Dust ..." "Queen" 0.951 0.53 -6.594 0.178 0.115 0.179 0.699 109.979 214.653 "Rock"
"Somebody To Love - Remaster..." "Queen" 0.492 0.676 -6.861 0.0516 0.172 0 0.412 110.232 296.493 "Rock"
"Fat Bottomed Girls - Remast..." "Queen" 0.341 0.674 -7.643 0.0492 0.0416 5.47e-06 0.452 88.933 255.6 "Rock"
"Seven Nation Army" "The White Stripes" 0.737 0.463 -7.828 0.0792 0.00817 0.447 0.324 123.881 231.733 "Rock"
"Bring Me To Life" "Evanescence" 0.316 0.945 -3.169 0.124 0.00895 1.85e-06 0.32 189.931 235.893 "Rock"
"Chop Suey!" "System Of A Down" 0.42 0.929 -3.899 0.121 0.000353 0.000747 0.3 127.204 210.24 "Rock"
"B.Y.O.B." "System Of A Down" 0.556 0.981 -2.688 0.128 0.00662 0 0.716 101.423 255.467 "Rock"
"Toxicity" "System Of A Down" 0.413 0.873 -4.151 0.0535 0.000264 0.0025 0.481 116.681 218.933 "Rock"
"Highway to Hell" "AC/DC" 0.573 0.913 -4.793 0.132 0.0591 0.00173 0.422 115.715 208.4 "Rock"
"Back In Black" "AC/DC" 0.31 0.7 -5.678 0.047 0.011 0.00965 0.763 188.386 255.493 "Rock"
"Thunderstruck" "AC/DC" 0.501 0.889 -5.175 0.0364 0.000147 0.0114 0.257 133.519 292.88 "Rock"
"T.N.T." "AC/DC" 0.754 0.759 -5.218 0.302 0.153 0.000114 0.435 126.367 214.667 "Rock"
"Sweet Child O' Mine" "Guns N' Roses" 0.449 0.901 -7.711 0.0526 0.141 0.0675 0.696 125.148 356.4 "Rock"
"Welcome To The Jungle" "Guns N' Roses" 0.445 0.955 -8.027 0.0856 0.0326 0.284 0.336 123.343 273.6 "Rock"
"Paradise City" "Guns N' Roses" 0.274 0.949 -8.642 0.0896 0.0214 0.00778 0.497 100.346 406.307 "Rock"
"Knockin' On Heaven's Door" "Guns N' Roses" 0.496 0.739 -7.193 0.0415 0.0211 0.00444 0.378 132.41 336 "Rock"
"I Was Made For Lovin' You" "KISS" 0.777 0.842 -6.167 0.04 0.24 7.32e-05 0.864 128.388 271.24 "Rock"
"Rock And Roll All Nite" "KISS" 0.657 0.932 -5.819 0.0992 0.0551 0 0.888 144.751 168.827 "Rock"
"Dream On" "Aerosmith" 0.307 0.433 -10.057 0.029 0.388 9.08e-05 0.224 160.9 266.96 "Rock"
"Walk This Way" "Aerosmith" 0.653 0.73 -10.613 0.043 0.0114 1.03e-05 0.894 108.705 220.4 "Rock"
"Dude (Looks Like A Lady)" "Aerosmith" 0.537 0.978 -2.921 0.0442 0.417 1.56e-05 0.931 126.343 265.773 "Rock"
"Pour Some Sugar On Me - Rem..." "Def Leppard" 0.267 0.953 -4.899 0.096 0.00211 0 0.568 84.989 267.307 "Rock"
"We're Not Gonna Take It" "Twisted Sister" 0.502 0.924 -6.299 0.0503 0.0127 0 0.922 149.186 219.667 "Rock"
"I Wanna Rock" "Twisted Sister" 0.504 0.911 -2.97 0.0738 0.00512 0.0123 0.671 106.244 179.76 "Rock"
"Should I Stay or Should I G..." "The Clash" 0.742 0.833 -6.463 0.115 0.079 0 0.816 113.375 188.987 "Rock"
"Rock the Casbah - Remastered" "The Clash" 0.796 0.872 -6.722 0.0573 0.287 0 0.866 129.894 222.427 "Rock"
"I Fought the Law" "The Clash" 0.525 0.9 -6.815 0.0545 0.00539 4.09e-05 0.883 151.274 163.24 "Rock"
"(I Can't Get No) Satisfacti..." "The Rolling Stones" 0.725 0.853 -7.842 0.0353 0.0348 0.127 0.904 136.282 222.813 "Rock"
"Paint It, Black" "The Rolling Stones" 0.469 0.8 -9.241 0.11 0.0601 0.0033 0.591 158.716 202.267 "Rock"
"Smells Like Teen Spirit" "Nirvana" 0.516 0.906 -4.525 0.0658 2.86e-05 0.000101 0.728 116.775 301.92 "Rock"
"Jumpin' Jack Flash" "The Rolling Stones" 0.574 0.906 -7.949 0.0606 0.0497 0.169 0.742 137.328 222.28 "Rock"
"The Pretender" "Foo Fighters" 0.433 0.959 -4.04 0.0431 0.000917 0 0.365 172.984 269.373 "Rock"
"Everlong" "Foo Fighters" 0.412 0.882 -5.54 0.0369 5.96e-05 0.00031 0.356 158.066 250.547 "Rock"
"Best of You" "Foo Fighters" 0.366 0.94 -5.119 0.0696 0.000769 9.42e-05 0.369 130.198 255.627 "Rock"
"Livin' On A Prayer" "Bon Jovi" 0.534 0.887 -3.777 0.0345 0.0768 9.93e-05 0.72 122.494 249.293 "Rock"
"You Give Love A Bad Name" "Bon Jovi" 0.537 0.959 -3.002 0.0557 0.0704 1.8e-06 0.828 122.806 222.707 "Rock"
"It's My Life" "Bon Jovi" 0.537 0.903 -3.997 0.0505 0.0338 1.53e-05 0.571 120.069 224.493 "Rock"
"Wanted Dead Or Alive" "Bon Jovi" 0.257 0.803 -3.886 0.0411 0.137 0.0156 0.294 150.818 308.667 "Rock"
"Enter Sandman" "Metallica" 0.579 0.824 -8.71 0.03 0.00206 0.00903 0.635 123.331 331.573 "Rock"
"Master of Puppets (Remastered)" "Metallica" 0.539 0.828 -9.108 0.035 0.00067 0.421 0.562 105.25 515.387 "Rock"
"Bodies" "Drowning Pool" 0.656 0.932 -3.405 0.0708 0.00347 0.00147 0.544 130.936 201.96 "Rock"
"It's The End Of The World A..." "R.E.M." 0.383 0.893 -8.638 0.037 0.026 0 0.803 205.544 246.933 "Rock"
"Losing My Religion" "R.E.M." 0.671 0.849 -5.03 0.0284 0.163 0 0.829 125.613 268.427 "Rock"
"Du hast" "Rammstein" 0.638 0.918 -6.294 0.0385 0.00437 0.0706 0.723 125.066 234.227 "Rock"
"I Can't Drive 55" "Sammy Hagar" 0.531 0.625 -12.335 0.0319 0.0043 4.34e-05 0.882 133.763 254.467 "Rock"
"Rock You Like A Hurricane" "Scorpions" 0.482 0.601 -12.846 0.0486 0.00853 0.000187 0.774 125.619 252.493 "Rock"
"Sweet Emotion" "Aerosmith" 0.38 0.76 -10.961 0.0378 0.00298 0.0294 0.491 99.437 274.133 "Rock"
"Kashmir" "Led Zeppelin" 0.48 0.536 -11.166 0.0427 0.488 4.22e-05 0.581 80.617 508.2 "Rock"
"Gimme Shelter" "The Rolling Stones" 0.634 0.63 -8.277 0.031 0.447 0.039 0.489 118.628 270.773 "Rock"
"A Day In The Life - Remaste..." "The Beatles" 0.364 0.457 -14.162 0.0675 0.29 0.000106 0.175 163.219 337.413 "Rock"
"All Along the Watchtower" "Jimi Hendrix" 0.438 0.805 -6.237 0.0624 0.00255 5.69e-05 0.564 113.253 240.8 "Rock"
"Everybody Wants Some!! - 20..." "Van Halen" 0.528 0.769 -8.413 0.0469 0.0506 0.029 0.48 144.84 306.05 "Rock"
"Comfortably Numb" "Pink Floyd" 0.472 0.366 -12.595 0.0286 0.15 0.308 0.171 127.167 382.297 "Rock"
"War Pigs/Luke's Wall - Rema..." "Black Sabbath" 0.332 0.623 -12.365 0.0803 0.222 0.000883 0.416 182.63 474.36 "Rock"
"Paranoid - Remastered Version" "Black Sabbath" 0.415 0.658 -12.051 0.0696 4.52e-05 0.000735 0.45 163.015 168.406 "Rock"
"Planet Caravan - Remastered..." "Black Sabbath" 0.368 0.0595 -28.603 0.036 0.941 0.891 0.339 90.116 269.027 "Rock"
"Iron Man - Remastered Version" "Black Sabbath" 0.336 0.792 -10.875 0.0848 0.00349 0.00178 0.425 155.588 355.304 "Rock"
"Electric Funeral - Remaster..." "Black Sabbath" 0.364 0.488 -12.888 0.0461 0.434 1.23e-06 0.285 125.271 289.803 "Rock"
"Hand Of Doom - Remastered V..." "Black Sabbath" 0.449 0.574 -12.452 0.0695 0.0192 0.000111 0.233 142.067 428.291 "Rock"
"Rat Salad - Remastered Version" "Black Sabbath" 0.505 0.594 -13.872 0.124 0.013 0.919 0.45 100.459 150.802 "Rock"
"Jack The Stripper/Fairies W..." "Black Sabbath" 0.485 0.662 -10.828 0.041 0.00153 0.024 0.631 139.687 372.145 "Rock"
"Baba O'Riley" "The Who" 0.494 0.722 -8.373 0.0347 0.287 0.186 0.156 117.312 300 "Rock"
"Don't Stop Believin'" "Journey" 0.5 0.748 -9.072 0.0363 0.127 0 0.514 118.852 250.987 "Rock"
"Sweet Home Alabama" "Lynyrd Skynyrd" 0.596 0.605 -12.145 0.0255 0.181 0.000331 0.886 97.798 283.8 "Rock"
"Fortunate Son" "Creedence Clearwa..." 0.64 0.663 -7.516 0.0374 0.201 0.00806 0.663 132.77 140.773 "Rock"
"Crazy Train - Remastered" "Ozzy Osbourne" 0.453 0.906 -4.001 0.115 0.361 0.000569 0.473 137.575 296.2 "Rock"
"La Grange - 2005 Remastered..." "ZZ Top" 0.545 0.64 -9.937 0.224 0.00249 0.0304 0.606 80.544 230.48 "Rock"
"Free Fallin'" "Tom Petty" 0.63 0.449 -13.243 0.0252 0.219 0 0.623 84.378 256 "Rock"
"More Than a Feeling" "Boston" 0.377 0.682 -8.039 0.0299 0.000894 0.00217 0.288 108.736 285.133 "Rock"
"Smoke On the Water" "Deep Purple" 0.632 0.586 -11.333 0.0284 0.0983 0.581 0.89 114.243 342.173 "Rock"
"School's Out" "Alice Cooper" 0.294 0.745 -9.138 0.0461 0.05 0.125 0.347 134.364 210.107 "Rock"
"Living After Midnight" "Judas Priest" 0.61 0.824 -6.046 0.0534 0.0136 1.75e-06 0.819 134.992 210.133 "Rock"
"Tom Sawyer" "Rush" 0.536 0.901 -7.211 0.0374 0.00145 0.0186 0.666 87.559 276.88 "Rock"
"Roxanne" "The Police" 0.593 0.635 -11.474 0.431 0.0643 0 0.786 133.137 194.76 "Rock"
"(Don't Fear) The Reaper" "Blue Öyster Cult" 0.333 0.927 -8.55 0.0733 0.0029 0.000211 0.382 141.47 308.12 "Rock"
"Photograph" "Def Leppard" 0.602 0.877 -6.606 0.0515 0.000343 0.635 0.617 123.679 247.962 "Rock"
"I Walk the Line" "Johnny Cash" 0.713 0.258 -14.59 0.0384 0.877 0.00606 0.56 98.805 176.533 "Country"
"Crazy - Single Version" "Patsy Cline" 0.471 0.021 -24.385 0.0366 0.931 1.19e-06 0.356 107.765 164.573 "Country"
"I'm So Lonesome I Could Cry" "Hank Williams" 0.504 0.271 -14.388 0.0304 0.812 0.00236 0.369 112.033 169.067 "Country"
"He Stopped Loving Her Today" "George Jones" 0.43 0.173 -18.597 0.0321 0.594 0.000111 0.365 72.103 195.333 "Country"
"Mama Tried" "Merle Haggard & T..." 0.694 0.489 -13.119 0.0535 0.744 2.59e-06 0.695 97.982 133.493 "Country"
"Jolene" "Dolly Parton" 0.674 0.537 -10.971 0.0363 0.566 0 0.809 110.578 161.533 "Country"
"All My Ex's Live In Texas" "George Strait" 0.762 0.318 -16.046 0.0355 0.235 6.12e-06 0.677 130.516 200.827 "Country"
"Blue Moon Of Kentucky" "Bill Monroe & His..." 0.481 0.39 -9.64 0.0343 0.444 2.69e-06 0.766 118.674 126.667 "Country"
"The Gambler" "Kenny Rogers" 0.671 0.501 -13.119 0.0594 0.342 0 0.86 87.038 214.88 "Country"
"Goodbye Earl" "Dixie Chicks" 0.705 0.7 -7.38 0.0295 0.0192 0 0.765 122.841 258.64 "Country"
"Ring of Fire" "Johnny Cash" 0.661 0.517 -8.004 0.0269 0.267 0.000158 0.676 104.563 155.707 "Country"
"Follow Your Arrow" "Kacey Musgraves" 0.632 0.649 -5.933 0.0267 0.442 0 0.614 98.03 199.64 "Country"
"Ode To Billie Joe" "Bobbie Gentry" 0.637 0.189 -10.726 0.0471 0.721 0 0.695 120.142 255.002 "Country"
"Mammas, Don't Let Your Babi..." "Waylon Jennings" 0.592 0.422 -11.549 0.0332 0.614 0.0015 0.536 94.597 153.2 "Country"
"Highwayman" "Willie Nelson" 0.675 0.448 -13.175 0.0389 0.541 0.0135 0.441 101.344 182.973 "Country"
"On the Road Again" "Willie Nelson" 0.714 0.724 -8.488 0.042 0.55 0.101 0.802 111.173 153.107 "Country"
"Blue Eyes Crying in the Rain" "Willie Nelson" 0.626 0.04 -19.994 0.0405 0.928 0.00178 0.418 117.136 138.6 "Country"
"Mean" "Taylor Swift" 0.568 0.761 -3.987 0.0459 0.452 0 0.789 163.974 237.733 "Country"
"Before He Cheats" "Carrie Underwood" 0.519 0.749 -3.318 0.0405 0.271 0 0.29 147.905 199.947 "Country"
"Live Like You Were Dying" "Tim McGraw" 0.416 0.546 -7.728 0.0297 0.492 0 0.418 159.929 300.333 "Country"
"Chicken Fried" "Zac Brown Band" 0.566 0.713 -4.25 0.0417 0.645 0 0.807 169.864 238.147 "Country"
"You're Gonna Miss This" "Trace Adkins" 0.5 0.665 -7.157 0.0355 0.0237 6.41e-05 0.32 154.997 224.96 "Country"
