"Title" "Artist" "danceability" "energy" "loudness" "speechiness" "acousticness" "instrumentalness" "valence" "tempo" "duration" "Genre"
"Symphony No. 9 in D minor, ..." "Ludwig van Beethoven" 0.171 0.0782 -17.027 0.0359 0.935 0.907 0.0714 88.495 373 "Classical"
"Nabucco : Va, pensiero (Cho..." "Giuseppe Verdi" 0.183 0.0549 -18.702 0.0433 0.987 0.734 0.0714 76.851 283.48 "Classical"
"Puccini: Gianni Schicchi - ..." "Giacomo Puccini" 0.272 0.102 -20.26 0.0422 0.952 1.66e-05 0.0588 87.609 126.133 "Classical"
"La Bohème: Che gelida manina" "Giacomo Puccini" 0.261 0.259 -15.37 0.0403 0.973 0.00673 0.0622 85.727 274.333 "Classical"
"Turandot : Nessun dorma!" "Giacomo Puccini" 0.1 0.502 -9.855 0.0814 0.94 0.00678 0.179 68.111 185.36 "Classical"
"Concerto No. 2 in B Minor f..." "Niccolò Paganini" 0.546 0.168 -20.673 0.0473 0.844 0.113 0.465 113.533 535.067 "Classical"
"Symphony No.5 in C sharp mi..." "Gustav Mahler" 0.138 0.0132 -27.953 0.0415 0.917 0.914 0.0351 80.589 617.627 "Classical"
"Symphony No.9 in E minor, O..." "Antonín Dvorák" 0.262 0.224 -10.848 0.0351 0.936 0.909 0.106 134.336 716.103 "Classical"
"Carmina Burana : \"O Fortuna\"" "Carl Orff" 0.418 0.334 -14.725 0.0449 0.888 0.163 0.289 140.587 153.948 "Classical"
"Romeo and Juliet, Op.64 : 1..." "Sergei Prokofiev" 0.218 0.13 -18.383 0.0423 0.797 0.811 0.122 90.965 337.947 "Classical"
"Gnossiennes: No. 1" "Erik Satie" 0.401 0.0251 -27.9 0.0407 0.995 0.906 0.101 134.175 222.733 "Classical"
"Symphony No.5 in C minor, O..." "Ludwig van Beethoven" 0.254 0.3 -15.641 0.0391 0.955 0.885 0.165 98.214 441.907 "Classical"
"Piano Concerto No.2 in C mi..." "Sergei Rachmaninoff" 0.136 0.0297 -26.42 0.0387 0.983 0.94 0.0386 87.545 716.107 "Classical"
"Symphony No.7 in A, Op.92 :..." "Ludwig van Beethoven" 0.173 0.0274 -23.951 0.0354 0.945 0.153 0.0742 145.926 489 "Classical"
"Piano Concerto No.2 in F mi..." "Frédéric Chopin" 0.355 0.202 -17.672 0.0356 0.983 0.874 0.151 105.484 546 "Classical"
"Piano Concerto No.20 in D m..." "Wolfgang Amadeus ..." 0.174 0.0501 -24.9 0.0354 0.982 0.811 0.0916 75.646 640.84 "Classical"
"Suite No.2 in B minor, BWV ..." "Johann Sebastian ..." 0.641 0.221 -19.408 0.044 0.942 0.0109 0.936 110.247 92.76 "Classical"
"Trumpet Concerto in E flat,..." "Franz Joseph Haydn" 0.542 0.249 -16.469 0.0347 0.976 0.908 0.465 135.253 272.827 "Classical"
"Le quattro stagioni (The Fo..." "Antonio Vivaldi" 0.454 0.19 -16.032 0.0477 0.748 0.659 0.145 105.397 199.987 "Classical"
"Le quattro stagioni (The Fo..." "Antonio Vivaldi" 0.302 0.152 -16.174 0.0426 0.728 0.501 0.156 100.65 235 "Classical"
"Le quattro stagioni (The Fo..." "Antonio Vivaldi" 0.348 0.497 -13.667 0.039 0.765 0.852 0.385 152.123 162.04 "Classical"
"Le quattro stagioni (The Fo..." "Antonio Vivaldi" 0.463 0.155 -17.164 0.044 0.877 0.261 0.222 122.437 301.72 "Classical"
"Variations on an Original T..." "Edward Elgar" 0.0869 0.0587 -22.846 0.0397 0.929 0.762 0.0372 86.027 225.133 "Classical"
"Canon and Gigue in D major:..." "Johann Pachelbel" 0.254 0.143 -18.52 0.041 0.724 8.52e-05 0.227 107.053 271.76 "Classical"
"Symphony No. 8 in B Minor, ..." "Franz Schubert" 0.132 0.0545 -19.017 0.0343 0.842 0.913 0.0544 87.909 691.853 "Classical"
"The Moldau (From Má Vlast)" "Bedrich Smetana" 0.154 0.212 -16.1 0.0333 0.952 0.896 0.0663 86.585 661 "Classical"
"Pavane, Op. 50" "Gabriel Fauré" 0.137 0.0326 -29.102 0.0379 0.928 0.916 0.0755 82.806 315.933 "Classical"
"Vocalise, Op. 34, No. 14" "Sergei Rachmaninoff" 0.07 0.0724 -25.949 0.0404 0.946 0.896 0.0369 75.52 327.6 "Classical"
"Valse triste, Op.44" "Jean Sibelius" 0.184 0.0129 -24.772 0.0414 0.957 0.967 0.0612 113.324 355.84 "Classical"
"Suite No. 3 in D Major, BWV..." "Johann Sebastian ..." 0.167 0.0732 -26.389 0.0422 0.984 0.88 0.132 108.89 228 "Classical"
"Le quattro stagioni (The Fo..." "Antonio Vivaldi" 0.314 0.21 -20.181 0.0552 0.902 0.272 0.223 98.585 92.787 "Classical"
"Tristan und Isolde : Liebestod" "Richard Wagner" 0.132 0.0981 -21.906 0.0407 0.891 0.925 0.0323 81.63 403.467 "Classical"
"Juicy" "The Notorious B.I.G." 0.889 0.816 -4.67 0.247 0.472 0 0.777 96.056 302.693 "Rap"
"Straight Outta Compton" "N.W.A." 0.833 0.874 -9.426 0.155 0.0495 0 0.414 102.866 258.688 "Rap"
"C.R.E.A.M." "Wu-Tang Clan" 0.479 0.549 -10.551 0.373 0.57 0.0239 0.576 180.985 252.187 "Rap"
"Rebel Without A Pause" "Public Enemy" 0.755 0.692 -13.906 0.346 0.0127 0 0.651 99.771 302.8 "Rap"
"Fight The Power" "Public Enemy" 0.797 0.582 -12.97 0.255 0.00484 2.04e-06 0.415 105.974 282.64 "Rap"
"Fuck Tha Police" "N.W.A." 0.865 0.751 -8.363 0.304 0.0184 0 0.851 98.647 345.717 "Rap"
"Dear Mama" "2Pac" 0.773 0.542 -7.136 0.126 0.379 0 0.31 84.124 280 "Rap"
"Paul Revere" "Beastie Boys" 0.886 0.352 -20.016 0.904 0.0202 0 0.524 91.719 220.915 "Rap"
"In Da Club" "50 Cent" 0.865 0.73 -2.813 0.373 0.283 0 0.808 90.096 193.467 "Rap"
"It Takes Two" "Rob Base & DJ EZ ..." 0.767 0.776 -8.915 0.144 0.0143 0 0.608 111.686 301.893 "Rap"
"Scenario - LP Mix" "A Tribe Called Quest" 0.795 0.6 -14.004 0.341 0.112 0.000171 0.633 101.78 250.133 "Rap"
"Lose Yourself - From \"8 Mil..." "Eminem" 0.698 0.732 -4.522 0.266 0.00704 0.000647 0.0689 171.431 326.467 "Rap"
"Hypnotize - 2014 Remastered..." "The Notorious B.I.G." 0.901 0.697 -3.439 0.28 0.145 0 0.67 93.941 229.827 "Rap"
"N.Y. State of Mind" "Nas" 0.665 0.91 -4.682 0.223 0.0394 0 0.887 84.099 293.973 "Rap"
"Jesus Walks" "Kanye West" 0.427 0.844 -4.597 0.427 0.578 0 0.716 85.346 193.733 "Rap"
"It Was A Good Day" "Ice Cube" 0.796 0.748 -5.409 0.126 0.321 4.94e-05 0.802 82.384 260 "Rap"
"Get Ur Freak On" "Missy Elliott" 0.797 0.75 -9.369 0.247 0.533 0.108 0.74 177.87 211.12 "Rap"
"My Name Is" "Eminem" 0.869 0.68 -6.233 0.318 0.0416 1.12e-06 0.815 85.519 268.4 "Rap"
"California Love - Original ..." "2Pac" 0.761 0.847 -3.068 0.0417 0.0292 2.26e-06 0.765 91.519 284.48 "Rap"
"Push It" "Salt-N-Pepa" 0.926 0.6 -12.485 0.0883 0.00684 0.00187 0.97 127.247 272.133 "Rap"
"B.O.B." "OutKast" 0.746 0.978 -5.324 0.0978 0.0555 4.02e-05 0.652 153.897 304.227 "Rap"
"Stan" "Eminem" 0.778 0.769 -4.331 0.248 0.0369 4.03e-06 0.484 80.044 404.107 "Rap"
"Forgot About Dre" "Dr. Dre" 0.937 0.731 -2.132 0.0815 0.0879 0 0.626 133.961 222.293 "Rap"
"The Next Episode" "Dr. Dre" 0.916 0.906 -2.494 0.195 0.0279 0 0.291 95.3 161.507 "Rap"
"Sing For The Moment" "Eminem" 0.664 0.81 -4.295 0.0983 0.00196 1.62e-06 0.162 164.052 339.667 "Rap"
"Boyz-N-The-Hood - Remix" "Eazy-E" 0.837 0.692 -4.251 0.337 0.0383 0 0.805 87.775 379.733 "Rap"
"Gin And Juice (feat. Dat Ni..." "Snoop Dogg" 0.549 0.853 -4.293 0.188 0.0285 0.000296 0.346 94.695 211.493 "Rap"
"Cleanin' Out My Closet" "Eminem" 0.911 0.743 -5.005 0.219 0.0835 0 0.878 148.012 297.933 "Rap"
"No Vaseline" "Ice Cube" 0.558 0.959 -3.193 0.386 0.174 0 0.522 104.733 313.053 "Rap"
"Regulate" "Warren G" 0.845 0.51 -13.064 0.224 0.29 2.39e-06 0.74 95.265 248.867 "Rap"
"Ms. Jackson" "OutKast" 0.843 0.805 -5.946 0.269 0.142 0 0.615 94.946 270.507 "Rap"
"Ruff Ryders' Anthem" "DMX" 0.879 0.573 -8.113 0.305 0.0636 0 0.73 91.037 214.44 "Rap"
"Ante Up (Robbin Hoodz Theory)" "M.O.P." 0.699 0.793 -4.856 0.268 0.00514 2.75e-06 0.929 94.138 248.693 "Rap"
"Hey Ma" "Cam’ron" 0.722 0.667 -5.737 0.406 0.0306 6.02e-06 0.915 180.627 232.533 "Rap"
"Bad Boy For Life" "Diddy" 0.669 0.829 -3.801 0.49 0.179 0 0.61 118.934 253.067 "Rap"
"Slow Jamz" "Twista" 0.569 0.744 -5.757 0.181 0.369 0 0.59 145.063 316.053 "Rap"
"Hot In Herre" "Nelly" 0.965 0.736 -5.005 0.144 0.218 0 0.921 107.07 228.227 "Rap"
"Freek-A-Leek" "Petey Pablo" 0.756 0.691 -3.718 0.178 0.0744 0 0.632 104.999 235.187 "Rap"
"Tipsy - Club Mix" "J-Kwon" 0.925 0.744 -5.79 0.367 0.0644 0 0.656 93.02 243.227 "Rap"
"Right Thurr" "Chingy" 0.866 0.749 -3.977 0.253 0.15 0 0.891 92.077 249.8 "Rap"
"Ms. New Booty" "Bubba Sparxxx" 0.64 0.62 -5.931 0.416 0.016 0 0.609 129.37 252.653 "Rap"
"Tell Me When To Go (feat. K..." "E-40" 0.857 0.751 -7.086 0.323 0.00642 0.000257 0.293 106.888 237.667 "Rap"
"Best I Ever Had" "Drake" 0.427 0.861 -4.874 0.376 0.219 0 0.581 161.776 257.76 "Rap"
"Po' Folks (feat. Anthony Ha..." "Nappy Roots" 0.854 0.847 -3.03 0.258 0.212 0 0.651 86.062 255.227 "Rap"
"What's Your Fantasy (Featur..." "Ludacris" 0.914 0.813 -3.607 0.163 0.171 0 0.962 140.089 275.907 "Rap"
"Get Low" "Ying Yang Twins" 0.521 0.625 -7.47 0.067 0.0301 0 0.136 101.019 334.067 "Rap"
"Work It" "Missy Elliott" 0.884 0.677 -5.603 0.283 0.0778 0 0.584 101.868 263.227 "Rap"
"Drop It Like It's Hot" "Snoop Dogg" 0.881 0.622 -4.149 0.215 0.187 0 0.633 91.989 266.067 "Rap"
"Always On Time" "Ja Rule" 0.607 0.714 -6.007 0.278 0.205 0 0.827 96.619 245.063 "Rap"
"Lean Back" "Terror Squad" 0.698 0.922 -3.359 0.517 0.129 0 0.691 126.594 247.427 "Rap"
"How We Do" "The Game" 0.578 0.666 -7.1 0.435 0.0496 0 0.591 195.13 235.533 "Rap"
"Crank That (Soulja Boy)" "Soulja Boy" 0.732 0.724 -2.104 0.101 0.511 0 0.808 140.13 221.933 "Rap"
"Go DJ" "Lil Wayne" 0.729 0.792 -3.137 0.142 0.0617 0 0.698 157.993 281.827 "Rap"
"Yeah!" "Usher" 0.894 0.791 -4.699 0.112 0.0183 0 0.583 105.018 250.373 "Rap"
"Low (feat T-Pain)" "Flo Rida" 0.918 0.609 -5.64 0.0791 0.0928 0 0.304 128.008 231.4 "Rap"
"I Gotta Feeling" "The Black Eyed Peas" 0.741 0.748 -6.299 0.0264 0.0823 0 0.6 127.965 289.133 "Rap"
"Gold Digger" "Kanye West" 0.638 0.699 -5.54 0.384 0.0223 0 0.66 92.939 207.627 "Rap"
"Wu-Tang Clan Aint Nuthing t..." "Wu-Tang Clan" 0.826 0.566 -10.747 0.31 0.197 0 0.653 99.13 216.133 "Rap"
"Shimmy Shimmy Ya" "Ol' Dirty Bastard" 0.814 0.481 -5.183 0.245 0.097 3.83e-05 0.193 96.252 161.4 "Rap"
"Gimme Some More" "Busta Rhymes" 0.591 0.855 -8.339 0.339 0.00832 5.87e-05 0.78 136.734 158.467 "Rap"
"Jump" "Kris Kross" 0.749 0.745 -10.625 0.164 0.000501 0.00403 0.481 101.972 195.107 "Rap"
"No Diggity" "Blackstreet" 0.868 0.646 -4.674 0.288 0.303 0 0.67 88.641 304.6 "Rap"
"Go Getta" "Jeezy" 0.375 0.726 -6.46 0.193 0.115 0 0.44 173.99 229.347 "Rap"
"Bartender" "T-Pain" 0.675 0.394 -8.539 0.133 0.0611 0 0.405 104.987 238.8 "Rap"
"Buy U a Drank (Shawty Snapp..." "T-Pain" 0.451 0.55 -8.137 0.262 0.0108 0 0.594 80.001 227.96 "Rap"
"Where The Hood At" "DMX" 0.536 0.946 -3.002 0.36 0.158 0 0.779 185.967 286.267 "Rap"
"X Gon' Give It To Ya" "DMX" 0.501 0.851 -5.111 0.292 0.0295 0 0.627 95.058 219.253 "Rap"
"Bangarang (feat. Sirah)" "Skrillex" 0.716 0.972 -2.302 0.196 0.0145 3.22e-05 0.576 110.026 215.253 "EDM"
"Sandstorm" "Darude" 0.528 0.965 -7.984 0.0465 0.141 0.985 0.587 136.065 225.493 "EDM"
"Everytime We Touch" "Cascada" 0.635 0.974 -5.373 0.052 0.00474 1.56e-05 0.495 142.049 196.467 "EDM"
"Harder Better Faster Stronger" "Daft Punk" 0.817 0.716 -8.898 0.144 0.0427 0.00263 0.692 123.475 224.693 "EDM"
"Satisfaction - Isaak Original" "Benny Benassi" 0.804 0.717 -3.366 0.103 0.185 0.197 0.37 129.971 285.133 "EDM"
"We No Speak Americano - Ori..." "Yolanda Be Cool" 0.871 0.558 -9.45 0.0796 0.0173 0.334 0.519 128.327 264.067 "EDM"
"Levels - Radio Edit" "Avicii" 0.579 0.887 -5.961 0.0334 0.0476 0.828 0.472 126.041 201.92 "EDM"
"Animals" "Martin Garrix" 0.675 0.868 -6.36 0.0392 0.00107 0.715 0.0376 128.007 304.229 "EDM"
"Promises" "NERO" 0.489 0.952 -4.372 0.0616 4.5e-05 0.00639 0.293 143.935 257.36 "EDM"
"Clarity" "Zedd" 0.509 0.781 -3.48 0.072 0.0398 0 0.176 128 271.427 "EDM"
"Don't You Worry Child - Rad..." "Swedish House Mafia" 0.612 0.84 -3.145 0.0509 0.112 0 0.438 129.042 212.862 "EDM"
"Titanium (feat. Sia)" "David Guetta" 0.599 0.803 -3.641 0.0986 0.069 0.137 0.233 126.057 245.041 "EDM"
"I Can't Stop" "Flux Pavilion" 0.524 0.601 -13.399 0.0335 0.00108 0.601 0.314 139.972 305.786 "EDM"
"Bass Cannon" "Flux Pavilion" 0.675 0.827 -4.292 0.0363 0.00138 0.865 0.0402 139.928 310.411 "EDM"
"Save The World" "Swedish House Mafia" 0.507 0.665 -7.598 0.0474 0.0144 0 0.4 126.879 213.338 "EDM"
"Greyhound" "Swedish House Mafia" 0.723 0.806 -4.989 0.0521 0.00666 0.876 0.539 124.976 410.097 "EDM"
"Ghosts 'n' Stuff" "deadmau5" 0.611 0.613 -6.942 0.129 4.73e-05 0.105 0.491 127.979 328.747 "EDM"
"Strobe - Radio Edit" "deadmau5" 0.656 0.662 -9.345 0.0307 8.12e-05 0.886 0.0712 128.022 212.067 "EDM"
"The Devil's Den" "Skrillex" 0.616 0.946 -2.876 0.0687 0.00075 0.0777 0.322 127.992 292.907 "EDM"
"Illmerica" "Wolfgang Gartner" 0.624 0.718 -4.495 0.0458 0.000363 0.00519 0.145 129.031 337.8 "EDM"
"Lean On" "Major Lazer" 0.723 0.809 -3.081 0.0625 0.00346 0.00123 0.274 98.007 176.561 "EDM"
"Wake Me Up" "Avicii" 0.518 0.784 -5.659 0.0524 0.00346 0.00187 0.588 124.102 247.427 "EDM"
"Turn Down for What" "DJ Snake" 0.818 0.799 -4.1 0.156 0.00107 0.128 0.0815 100.014 213.733 "EDM"
"Faded" "Alan Walker" 0.589 0.651 -5.097 0.0306 0.0291 3.2e-06 0.166 90.011 212.627 "EDM"
"Firestone (feat. Conrad Sew..." "Kygo" 0.486 0.652 -7.226 0.052 0.408 6.63e-05 0.391 113.055 273.684 "EDM"
"Hello - Single Edit" "Martin Solveig" 0.668 0.941 -4.19 0.0315 0.0284 0.0196 0.465 127.993 281.39 "EDM"
"Atmosphere" "Kaskade" 0.585 0.77 -4.604 0.0396 0.0227 5.6e-06 0.393 122.987 231.453 "EDM"
"Alone" "Marshmello" 0.636 0.953 -3.74 0.0353 0.0244 0.0164 0.397 142.011 273.803 "EDM"
"Eat Sleep Rave Repeat (feat..." "Fatboy Slim" 0.697 0.947 -4.156 0.106 0.424 0.0527 0.626 128.004 168.122 "EDM"
"Barbra Streisand" "Duck Sauce" 0.694 0.813 -4.129 0.335 0.00649 0.000467 0.741 127.834 264.814 "EDM"
"In the Name of Love" "Martin Garrix" 0.501 0.519 -5.88 0.0409 0.109 0 0.168 133.99 195.707 "EDM"
"Scary Monsters And Nice Spr..." "Skrillex" 0.523 0.944 -3.581 0.0837 0.00336 0.557 0.324 139.997 243.354 "EDM"
"#SELFIE" "The Chainsmokers" 0.807 0.916 -3.282 0.226 0.0134 1.22e-05 0.651 127.973 183.75 "EDM"
"Cinema - Skrillex Remix" "Benny Benassi" 0.635 0.983 -3.807 0.174 0.00901 0.00799 0.434 145.085 307.987 "EDM"
"Get Low" "Dillon Francis" 0.674 0.932 -4.424 0.0859 0.0282 0.71 0.728 101.033 212.773 "EDM"
"Bad (feat. Vassy) - Radio Edit" "David Guetta" 0.614 0.972 -3.927 0.088 0.00125 0.0186 0.411 127.966 170.625 "EDM"
